"1";"New Hope";"35";"35"
"2";"_Test";"10";"25"
"3";"Triangulum";"9";"8"
"4";"Jericho";"30";"20"
"5";"Hellfire";"20";"40"
"6";"Oculum Corvus";"23";"28"
"7";"Lyra Major";"25";"15"
"8";"Minos Fatalis";"25";"11"
"9";"Selas";"19";"15"
"10";"Helios";"30";"35"
"11";"Neu Kaledonien";"13";"17"
"12";"Pegasos";"10";"19"
"13";"Hermes";"40";"20"
"14";"Lesunia";"30";"17"
"15";"Livenfall";"40";"20"
"16";"Phobos";"18";"17"
"17";"Minas Hydra";"20";"20"
"18";"Tyche";"28";"16"
"19";"Othella";"19";"19"
"20";"Ares";"13";"25"
"21";"Carmen";"30";"20"
"22";"Old Korion";"30";"14"
"23";"Kahldorf - Hegeli";"15";"13"
"24";"Horologium";"6";"6"
"25";"Gugnir";"9";"13"
"26";"Lyra Major Alpha";"18";"11"
"27";"Lyra Major Beta";"15";"17"
"28";"Minas Hydra 1";"13";"18"
"29";"Minas Hydra 2";"18";"9"
"30";"Minas Hydra 3";"14";"15"
"31";"Minas Hydra 4";"15";"10"
"32";"Minas Hydra 5";"15";"15"
"33";"Minas Hydra 6-9";"18";"25"
"34";"Minas Hydra 10-12";"29";"15"
